fold,seed,teto,epoca,perda
1,2024,100,99,0.5232486533042566
1,2024,100,100,0.521609681561027
1,2024,800,1,0.6278155251333869
1,2024,800,2,0.5911527971018707
1,2024,800,3,0.5789388736268339
1,2024,800,4,0.5721269859360021
1,2024,800,5,0.5670001043502702
1,2024,800,6,0.5628620902447162
1,2024,800,7,0.56145189450408
1,2024,800,8,0.5595329165217945
1,2024,800,9,0.5573620654561087
1,2024,800,10,0.5548123629578297
1,2024,800,11,0.5537258101661111
1,2024,800,12,0.552855508861905
1,2024,800,13,0.5512556276788452
1,2024,800,14,0.5505851019278719
1,2024,800,15,0.549537263132555
1,2024,800,16,0.547440974203394
1,2024,800,17,0.5473446373486428
1,2024,800,18,0.5471905869829512
1,2024,800,19,0.5456412035535966
1,2024,800,20,0.5454994866718222
1,2024,800,21,0.5442198516750325
1,2024,800,22,0.5443440100641582
1,2024,800,23,0.5443903912748999
1,2024,800,24,0.5450414011602117
1,2024,800,25,0.5431272663301718
1,2024,800,26,0.5410642756422593
1,2024,800,27,0.541646315985474
1,2024,800,28,0.5401975774384065
1,2024,800,29,0.5416442759197576
1,2024,800,30,0.5408920789474573
1,2024,800,31,0.5394974739916626
1,2024,800,32,0.5396825967774427
1,2024,800,33,0.5380704638877015
1,2024,800,34,0.5379521817163674
1,2024,800,35,0.5386546324707419
1,2024,800,36,0.53768370030027
1,2024,800,37,0.5358004049722724
1,2024,800,38,0.5356447329218248
1,2024,800,39,0.5362369150287183
1,2024,800,40,0.5347621063451643
1,2024,800,41,0.5360968147296321
1,2024,800,42,0.5348549670114012
1,2024,800,43,0.5346301787513836
1,2024,800,44,0.5352252235212995
1,2024,800,45,0.5356510899404889
1,2024,800,46,0.5334119099032064
1,2024,800,47,0.5330248344463346
1,2024,800,48,0.5329269387364819
1,2024,800,49,0.5328510151494109
1,2024,800,50,0.5326538510547403
1,2024,800,51,0.5311757113470748
1,2024,800,52,0.5325530732094661
1,2024,800,53,0.5323266278334245
1,2024,800,54,0.5340178508151328
1,2024,800,55,0.5323305078568282
1,2024,800,56,0.531818042203874
1,2024,800,57,0.5296608487584001
1,2024,800,58,0.5310630214518345
1,2024,800,59,0.5295143204782677
1,2024,800,60,0.5283388307633362
1,2024,800,61,0.5300635389244132
1,2024,800,62,0.5299417954273402
1,2024,800,63,0.5283839291047668
1,2024,800,64,0.5279102838083234
1,2024,800,65,0.528725815448293
1,2024,800,66,0.5288533620351058
1,2024,800,67,0.5286002897064884
1,2024,800,68,0.5281443957551106
1,2024,800,69,0.5265267502356759
1,2024,800,70,0.5276285414943028
1,2024,800,71,0.5270281139379545
