atributo,tipo,ks,psi,wasserstein,wasserstein_por_iqr_referencia,js_bits,media_referencia,media_recente,referencia,recente
streaming_rank,numerico,0.014399433987100141,0.001361969992033277,0.26881268921942864,0.011200528717476193,,39.205841121495325,39.416338028169015,D0,D2
digital_rank,numerico,0.2534645254705804,1.212430865713066,4.699126299855206,0.2043098391241394,,39.54390186915888,44.24302816901408,D0,D2
album_rank,numerico,0.14518658681058313,0.1441746947927203,25.874380676582863,0.15777061388160282,,131.56691588785046,105.69253521126761,D0,D2
estreia,categorico,,,,,0.0022637944332427793,0.10182242990654206,0.13816901408450705,D0,D2
reentrada,categorico,,,,,0.0012669398485570533,0.010981308411214953,0.02147887323943662,D0,D2
radio_presente,categorico,,,,,0.0040990351470608305,0.48735981308411214,0.4123943661971831,D0,D2
streaming_presente,categorico,,,,,0.0001526124130457156,0.4346728971962617,0.42028169014084504,D0,D2
digital_presente,categorico,,,,,0.05646257210807929,0.42705607476635515,0.17359154929577464,D0,D2
album_presente,categorico,,,,,0.011918617143539813,0.4583878504672897,0.5866197183098592,D0,D2
mes,categorico,,,,,0.004083164196113289,6.397196261682243,6.119718309859155,D0,D2
semana_ano,categorico,,,,,0.007122998086834666,26.13317757009346,24.823943661971832,D0,D2
alvo,alvo,,,,,0.0012737968685723959,0.36161214953271026,0.3217605633802817,D0,D2
rank,numerico,0.0,0.0,0.0,0.0,,50.5,50.5,D1,D2
rank_lag1,numerico,0.005563380281690122,0.00029874864072073254,0.22457746478873233,0.003939955522609339,,54.20838028169014,54.43154929577465,D1,D2
rank_lag2,numerico,0.007746478873239482,0.0002579200611482503,0.42732394366197185,0.00637796930838764,,57.41260563380282,57.83992957746479,D1,D2
variacao_1s,numerico,0.014999999999999958,0.0014327182831700316,0.7541549295774644,0.06284624413145537,,3.708380281690141,3.931549295774648,D1,D2
peak_pos,numerico,0.03542253521126765,0.018319239701628732,0.8283802816901401,0.018008266993263914,,32.85316901408451,32.8425352112676,D1,D2
distancia_pico,numerico,0.02549295774647886,0.00598574125147182,0.4641549295774655,0.016576961770623767,,17.646830985915493,17.657464788732394,D1,D2
semanas_na_parada,numerico,0.025845070422535255,0.006147879344650588,0.7472535211267608,0.05748104008667391,,11.498098591549295,12.219295774647888,D1,D2
hiato_semanas,numerico,0.005563380281690122,0.0,0.00619718309859163,,,0.028028169014084506,0.03422535211267606,D1,D2
radio_rank,numerico,0.03943661971830986,0.01319793957547561,0.573380281690141,0.02293521126760564,,38.95535211267605,39.29492957746479,D1,D2
streaming_rank,numerico,0.033309859154929566,0.005969783173841263,0.6364084507042256,0.025456338028169025,,38.78781690140845,39.416338028169015,D1,D2
digital_rank,numerico,0.11161971830985915,0.7285008282854321,1.5500000000000003,0.17222222222222225,,42.848098591549295,44.24302816901408,D1,D2
album_rank,numerico,0.1290845070422535,0.06826171042662167,21.498450704225355,0.11812335551772174,,127.19098591549296,105.69253521126761,D1,D2
estreia,categorico,,,,,6.071908546114601e-07,0.13880281690140844,0.13816901408450705,D1,D2
reentrada,categorico,,,,,0.00020785703009540082,0.01683098591549296,0.02147887323943662,D1,D2
radio_presente,categorico,,,,,0.0011432681649495664,0.451830985915493,0.4123943661971831,D1,D2
streaming_presente,categorico,,,,,0.0008134696216525947,0.45359154929577467,0.42028169014084504,D1,D2
digital_presente,categorico,,,,,0.01281143206150801,0.2852112676056338,0.17359154929577464,D1,D2
album_presente,categorico,,,,,0.011920019844318983,0.45838028169014083,0.5866197183098592,D1,D2
mes,categorico,,,,,0.014927407718498693,6.788732394366197,6.119718309859155,D1,D2
semana_ano,categorico,,,,,0.013297263101736284,27.570422535211268,24.823943661971832,D1,D2
alvo,alvo,,,,,6.347349934969262e-05,0.31302816901408453,0.3217605633802817,D1,D2
