modelo,seed,atributo,mean,std
MREC,42,peak_pos,0.010231985691742298,0.0034763765202052224
MREC,42,radio_presente,-0.0020167438135911125,0.004156180957971406
MREC,42,radio_rank,0.0381458761002252,0.004205744843274719
MREC,42,rank,0.05128367740089923,0.005237859979734035
MREC,42,rank_lag1,0.025393229991042064,0.006837911344708709
MREC,42,rank_lag2,0.024202191249944698,0.0062413077442642646
MREC,42,reentrada,0.016383393355471957,0.0028645920387205983
MREC,42,semana_ano,0.02979263719015013,0.005030647975199927
MREC,42,semanas_na_parada,0.017131479577162354,0.004766365603709508
MREC,42,streaming_presente,0.004317047884037459,0.003918061810171627
MREC,42,streaming_rank,0.02006117211378943,0.0027927686920320156
MREC,42,variacao_1s,0.020158498520617883,0.00653527011756294
MREC,1337,album_presente,0.012157620045808221,0.004154221253550643
MREC,1337,album_rank,0.029633195711388633,0.005379335108639751
MREC,1337,digital_presente,-0.0010315742333660116,0.003250459391519412
MREC,1337,digital_rank,0.006137185768415104,0.004634533980438412
MREC,1337,distancia_pico,0.027699541511654536,0.004357017202674186
MREC,1337,estreia,0.03234244903972159,0.0059581754496985904
MREC,1337,hiato_semanas,-0.0024802034319451882,0.0016484981414835141
MREC,1337,mes,0.0017741335743425234,0.004118954500652864
MREC,1337,peak_pos,0.04930198148376868,0.004451720985973088
MREC,1337,radio_presente,0.029311338375007323,0.004540738468937177
MREC,1337,radio_rank,0.027003808019269316,0.0053092743437993745
MREC,1337,rank,0.051373256121062694,0.004189608418529424
MREC,1337,rank_lag1,0.008013030979185307,0.0022912860136499145
MREC,1337,rank_lag2,0.024448196151167664,0.005100714411010021
MREC,1337,reentrada,0.01301558472679965,0.0016612315447171516
MREC,1337,semana_ano,0.020828739985854584,0.004369890234588543
MREC,1337,semanas_na_parada,0.020111413521036233,0.0044654818383001735
MREC,1337,streaming_presente,0.01258415004112901,0.0053324217341744395
MREC,1337,streaming_rank,0.019051753474534174,0.005748074233053719
MREC,1337,variacao_1s,0.03505516182567198,0.004068502815933243
MREC,2024,album_presente,0.021312334577694957,0.005633201227206128
MREC,2024,album_rank,0.04848903207225634,0.007196348431109484
MREC,2024,digital_presente,0.0009088525491327909,0.00201515022034853
MREC,2024,digital_rank,0.008388941051474988,0.004174692376486694
MREC,2024,distancia_pico,0.03685818608928623,0.0052919290699404336
MREC,2024,estreia,0.03688758599817665,0.005613363886691258
MREC,2024,hiato_semanas,0.0032659104894943282,0.0017609817809404803
MREC,2024,mes,0.0054457430654793,0.004125290810805098
MREC,2024,peak_pos,0.06765847924709649,0.0027461540720298268
MREC,2024,radio_presente,0.022891988302718012,0.005102498535173854
MREC,2024,radio_rank,0.02956638973968063,0.006741225349814329
MREC,2024,rank,0.021071066216005345,0.00449779934978691
MREC,2024,rank_lag1,0.003712838573350788,0.00392518787078686
MREC,2024,rank_lag2,0.033072023261757316,0.004973639990496069
MREC,2024,reentrada,0.01163608070006926,0.0013415704474589929
MREC,2024,semana_ano,0.029903210627137484,0.006407703778617747
MREC,2024,semanas_na_parada,0.043496129874865896,0.00772634939966227
MREC,2024,streaming_presente,0.0021827294223117494,0.005215328587703153
MREC,2024,streaming_rank,0.03100294740205727,0.0034941786639877755
MREC,2024,variacao_1s,0.0615890267703227,0.006192942924634204
MRT,42,album_presente,0.011251222613619377,0.002801503911593682
MRT,42,album_rank,0.044373232991401265,0.00653436915818806
MRT,42,digital_presente,0.0032565085208282442,0.0028843060375144027
MRT,42,digital_rank,0.010078442671078911,0.004352420238567874
MRT,42,distancia_pico,0.02606375384111744,0.007535406723839772
MRT,42,estreia,0.03395327693336294,0.0063633343382740555
