modelo,seed,corte,grupo,n,positivos,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
LR,-1,radio_presente,1,5856,2120,0.10790369194070142,0.3798913043478261,0.4480769230769231,0.3297169811320755,0.4293623379060185,0.5723440467051837,0.6103142076502732,2875,861,1421,699
LR,-1,streaming_presente,0,8232,2883,0.12485961338814996,0.4374575118966689,0.4288570476507831,0.4464099895941727,0.42296504949797264,0.5791650852364156,0.597910592808552,3635,1714,1596,1287
LR,-1,streaming_presente,1,5968,1686,0.11010203455004273,0.3029645697758496,0.38796296296296295,0.24851720047449585,0.34966144595270776,0.5890078637547559,0.6769436997319035,3621,661,1267,419
LR,-1,digital_presente,0,11735,3843,0.131572324563362,0.40309866811633593,0.42190611664295874,0.38589643507676297,0.40575473179493965,0.5894095563328985,0.6257349808265872,5860,2032,2360,1483
LR,-1,digital_presente,1,2465,726,0.11913378897226554,0.34520123839009287,0.39399293286219084,0.3071625344352617,0.3644771665709766,0.57223999100208,0.6567951318458418,1396,343,503,223
LR,-1,album_presente,0,5870,2062,0.12062972659819039,0.4399156711173577,0.42546443135478024,0.4553831231813773,0.4199690886309555,0.5815343444603835,0.5926746166950596,2540,1268,1123,939
LR,-1,album_presente,1,8330,2507,0.1272402274633968,0.35014836795252224,0.40928495197438636,0.3059433585959314,0.37838415335065434,0.581684695183899,0.6582232893157263,4716,1107,1740,767
M0,42,faixa_rank,1-10,1420,301,0.1064734548251833,0.10119047619047619,0.4857142857142857,0.05647840531561462,0.31246613618242935,0.6295220875306914,0.7873239436619718,1101,18,284,17
M0,42,faixa_rank,11-40,4260,1341,0.1546076891711621,0.3059548254620123,0.49093904448105435,0.2222222222222222,0.44270986512962024,0.6425440663768124,0.6826291079812207,2610,309,1043,298
M0,42,faixa_rank,41-100,8520,2927,0.16040819352480076,0.369579149754326,0.49315849486887114,0.29552442774171506,0.45619740980095097,0.6357421800433714,0.6536384976525822,4704,889,2062,865
M0,42,tempo_parada,1-4,4922,1261,0.3180089914437426,0.49369085173501576,0.49098039215686273,0.4964314036478985,0.4657612176474977,0.7562631037528044,0.7391304347826086,3012,649,635,626
M0,42,tempo_parada,5-12,4072,1537,0.12007928919735061,0.36861167002012074,0.4831223628691983,0.2979830839297333,0.466298581719177,0.5972563679084875,0.6146856581532416,2045,490,1079,458
M0,42,tempo_parada,13+,5206,1771,0.08402946188334022,0.09876543209876543,0.5549132947976878,0.05420666290231508,0.40670860381851864,0.5598008345682544,0.663465232424126,3358,77,1675,96
M0,42,trimestre,2023Q4,200,77,0.3012270672849451,0.496,0.6458333333333334,0.4025974025974026,0.6187721286182589,0.6926406926406926,0.685,106,17,46,31
M0,42,trimestre,2024Q1,1300,424,0.09453038707797831,0.2966360856269113,0.4217391304347826,0.22877358490566038,0.4089945787431413,0.6116836822607048,0.6461538461538462,743,133,327,97
M0,42,trimestre,2024Q2,1300,382,0.21109341524151853,0.36789297658862874,0.5092592592592593,0.2879581151832461,0.4611909585270945,0.6968683343028892,0.7092307692307692,812,106,272,110
M0,42,trimestre,2024Q3,1300,374,0.09373644848000996,0.2808798646362098,0.3824884792626728,0.22192513368983957,0.3524090232432233,0.6123716519790716,0.6730769230769231,792,134,291,83
M0,42,trimestre,2024Q4,1300,404,0.18275569161310776,0.3393739703459638,0.5073891625615764,0.25495049504950495,0.4576821265639322,0.6325611076732673,0.6915384615384615,796,100,301,103
M0,42,trimestre,2025Q1,1300,418,0.08641867211404951,0.25418060200668896,0.4222222222222222,0.18181818181818182,0.3916767808566908,0.5815892545215853,0.6569230769230769,778,104,342,76
M0,42,trimestre,2025Q2,1300,427,0.18339397239149927,0.3474178403755869,0.5235849056603774,0.25995316159250587,0.46939533131368605,0.6760182524928172,0.6792307692307692,772,101,316,111
M0,42,trimestre,2025Q3,1300,428,0.18437164078473386,0.3474178403755869,0.5260663507109005,0.25934579439252337,0.4524210893335799,0.6395947654977279,0.6792307692307692,772,100,317,111
M0,42,trimestre,2025Q4,1400,492,0.29025605460810455,0.4810744810744811,0.6024464831804281,0.40040650406504064,0.5748583237876109,0.7244166577128327,0.6964285714285714,778,130,295,197
M0,42,trimestre,2026Q1,1200,352,0.12995033714814666,0.3020257826887661,0.4293193717277487,0.23295454545454544,0.3672945697286154,0.6015759005145798,0.6841666666666667,739,109,270,82
M0,42,trimestre,2026Q2,1300,447,0.14757135878877337,0.3110419906687403,0.5102040816326531,0.22371364653243847,0.488392487229798,0.6659480554222366,0.6592307692307692,757,96,347,100
M0,42,trimestre,2026Q3,1000,344,0.12613001055873274,0.3104125736738703,0.47878787878787876,0.22965116279069767,0.4367202673691912,0.6052228091321611,0.649,570,86,265,79
M0,42,estreia,0,12238,4192,0.15105703925572112,0.3298076923076923,0.50244140625,0.24546755725190839,0.4515144623286437,0.6205708220195707,0.6582774963229285,7027,1019,3163,1029
M0,42,estreia,1,1962,377,0.2849252458796972,0.416551724137931,0.4339080459770115,0.4005305039787798,0.3944818982169339,0.7497150842195984,0.7844036697247706,1388,197,226,151
M0,42,reentrada,0,13895,4455,0.16142883260603466,0.33174791914387636,0.4909810822701276,0.2505050505050505,0.442664103147062,0.644502974661873,0.6764303706369198,8283,1157,3339,1116
