atributo,inferior,superior,proporcao_referencia,proporcao_recente,referencia,recente
streaming_rank,51.0,inf,0.5652991612737425,0.5463282405125678,D0,D1
digital_rank,-inf,11.0,0.09549564282877368,0.07628669999295923,D0,D1
digital_rank,11.0,22.0,0.0999112211760858,0.06966837991973526,D0,D1
digital_rank,22.0,34.0,0.10266803728710604,0.0642469900725199,D0,D1
digital_rank,34.0,47.0,0.10044856668925076,0.05889600788565796,D0,D1
digital_rank,47.0,51.0,0.02856108216713782,0.01622896571146941,D0,D1
digital_rank,51.0,inf,0.5729154498516459,0.7146729564176583,D0,D1
album_rank,-inf,8.0,0.09535546573838283,0.1802084066746462,D0,D1
album_rank,8.0,24.0,0.10105600074761115,0.08691825670632965,D0,D1
album_rank,24.0,53.0,0.10306520570988015,0.06227557558262339,D0,D1
album_rank,53.0,118.0,0.09972431838889798,0.07769485320002817,D0,D1
album_rank,118.0,201.0,0.0592131392659393,0.05136238822783919,D0,D1
album_rank,201.0,inf,0.5415858701492886,0.5415405196085334,D0,D1
rank,-inf,10.900000000000546,0.1,0.1,D0,D2
rank,10.900000000000546,20.80000000000109,0.1,0.1,D0,D2
rank,20.80000000000109,30.700000000002547,0.1,0.1,D0,D2
rank,30.700000000002547,40.60000000000218,0.1,0.1,D0,D2
rank,40.60000000000218,50.5,0.1,0.1,D0,D2
rank,50.5,60.40000000000509,0.1,0.1,D0,D2
rank,60.40000000000509,70.30000000000291,0.1,0.1,D0,D2
rank,70.30000000000291,80.20000000000437,0.1,0.1,D0,D2
rank,80.20000000000437,90.09999999999854,0.1,0.1,D0,D2
rank,90.09999999999854,inf,0.1,0.1,D0,D2
rank_lag1,-inf,11.0,0.09964957364793832,0.09774727208729321,D0,D2
rank_lag1,11.0,21.0,0.09922906202546432,0.0961281239000352,D0,D2
rank_lag1,21.0,31.0,0.09855157107814508,0.0950721576909539,D0,D2
rank_lag1,31.0,41.0,0.09644901296577503,0.09296022527279127,D0,D2
rank_lag1,41.0,53.0,0.10406494568391543,0.10767335445265752,D0,D2
rank_lag1,53.0,63.0,0.0935755168788693,0.08993312214009151,D0,D2
rank_lag1,63.0,74.0,0.10014017054082466,0.09486096444913762,D0,D2
rank_lag1,74.0,86.0,0.10292021960051397,0.0950721576909539,D0,D2
rank_lag1,86.0,101.0,0.10359771054783319,0.09239704329461457,D0,D2
rank_lag1,101.0,inf,0.10182221703072071,0.13815557902147133,D0,D2
rank_lag2,-inf,11.0,0.0991823385118561,0.0955649419218585,D0,D2
rank_lag2,11.0,21.0,0.09834131526690808,0.0922562478000704,D0,D2
rank_lag2,21.0,31.0,0.09642565120897091,0.08831397395283351,D0,D2
rank_lag2,31.0,43.0,0.10497605419927579,0.10014079549454417,D0,D2
rank_lag2,43.0,55.0,0.09418292255577619,0.09690249912002816,D0,D2
rank_lag2,55.0,67.0,0.10462562784721412,0.09683210137275607,D0,D2
rank_lag2,67.0,79.0,0.0967994393178367,0.08739880323829638,D0,D2
rank_lag2,79.0,94.0,0.10002336175680411,0.08873636043646603,D0,D2
rank_lag2,94.0,101.0,0.03650274500642448,0.03058782118972193,D0,D2
rank_lag2,101.0,inf,0.16894054432893355,0.22326645547342486,D0,D2
variacao_1s,-inf,-10.0,0.08787524821866605,0.14885603660682858,D0,D2
variacao_1s,-10.0,-5.0,0.09971965891835066,0.10225272791270679,D0,D2
variacao_1s,-5.0,-3.0,0.07362457656815792,0.058535726856740584,D0,D2
variacao_1s,-3.0,-1.0,0.10855040299030487,0.08606124604012672,D0,D2
variacao_1s,-1.0,0.0,0.07215278588949889,0.058817317845828936,D0,D2
variacao_1s,0.0,2.0,0.15293774091811704,0.1282998944033791,D0,D2
