familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB03,42,1,2014-08-27,2014-08-13,8500,8600,200,0.6274018999829423,0.10328239999944344,0.5303389538022959,0.43705359035913804,0.6754256602761765,0.6164953499755262,0.7468129261784762,0.7184883720930233,0.7847982076235216,0.6616148384629689
Gradient Boosting,GB03,42,2,2016-04-20,2016-04-06,17100,8600,200,0.8831818999897223,0.08931320000556298,0.4961540099628364,0.36183637775981975,0.6110868616324749,0.554675118858954,0.6802721088435374,0.689186046511628,0.7440757426375835,0.5876591330573764
Gradient Boosting,GB03,42,3,2017-12-13,2017-11-29,25700,8500,200,1.1285420999920461,0.08375109999906272,0.45682049185685103,0.31361839447682427,0.5558475689881734,0.5121065375302664,0.6077586206896551,0.6818823529411765,0.7135168447310634,0.5204452271131078
Gradient Boosting,GB03,42,4,2019-07-31,2019-07-17,34200,8500,200,1.8544344000110868,0.09927839998272248,0.42922721387576757,0.3037684408160942,0.5526015331919752,0.5174098961514967,0.5929296464823242,0.6772941176470588,0.716125479320218,0.5357352488300864
Gradient Boosting,GB04,42,1,2014-08-27,2014-08-13,8500,8600,200,0.794502199976705,0.12279650001437403,0.6253459672802179,0.41309158708714033,0.6362526701251144,0.6554542596667715,0.6181440853839312,0.7227906976744186,0.7837125994807571,0.6639168372731918
Gradient Boosting,GB04,42,2,2016-04-20,2016-04-06,17100,8600,200,1.099691299983533,0.10939910000888631,0.5473531032572275,0.36163846261663696,0.587171052631579,0.5963915803541597,0.5782312925170068,0.708139534883721,0.7444555322928148,0.5866441583302031
Gradient Boosting,GB04,42,3,2017-12-13,2017-11-29,25700,8500,200,1.6111483999993652,0.11967089999234304,0.49711825725154896,0.2964473272524293,0.5059396299902629,0.5525308379413015,0.4665948275862069,0.7015294117647058,0.7138699446200623,0.5176286533658223
Gradient Boosting,GB04,42,4,2019-07-31,2019-07-17,34200,8500,200,1.8966776999877766,0.10866070000338368,0.4525513944041518,0.27213362400971436,0.47542304593070106,0.5600379686758424,0.41302065103255164,0.6936470588235294,0.7169537238159089,0.5427267784487204
Gradient Boosting,GB05,42,1,2014-08-27,2014-08-13,8500,8600,200,0.8158770000154618,0.12719269999070093,0.6339791100610058,0.43547955996339494,0.6718600519338527,0.6232251521298174,0.7287281351912245,0.7208139534883721,0.7829825365126488,0.6619313952981523
Gradient Boosting,GB05,42,2,2016-04-20,2016-04-06,17100,8600,200,1.1075544999912381,0.10510970000177622,0.5550326906403465,0.3521001189952021,0.6044470450555881,0.5510802880768205,0.6692581794622611,0.6855813953488372,0.7444434572910125,0.5863145677719268
Gradient Boosting,GB05,42,3,2017-12-13,2017-11-29,25700,8500,200,1.6532062999904156,0.10420800000429153,0.5026420599058282,0.31566369445675635,0.5568537107125227,0.5138171879744914,0.6077586206896551,0.6831764705882353,0.713384691489105,0.518416708015937
Gradient Boosting,GB05,42,4,2019-07-31,2019-07-17,34200,8500,200,1.7527694999880623,0.10993030000827275,0.4672171352063905,0.29872463314148684,0.5478461032555081,0.5165891472868217,0.5831291564578229,0.6764705882352942,0.715190269525881,0.5392345430189652
