date,mean,size,conjunto
2014-05-07,0.28,100,D0
2014-05-14,0.4,100,D0
2014-05-21,0.39,100,D0
2014-05-28,0.37,100,D0
2014-06-04,0.56,100,D0
2014-06-11,0.42,100,D0
2014-06-18,0.42,100,D0
2014-06-25,0.36,100,D0
2014-07-02,0.37,100,D0
2014-07-09,0.37,100,D0
2014-07-16,0.41,100,D0
2014-07-23,0.38,100,D0
2014-07-30,0.44,100,D0
2014-08-06,0.36,100,D0
2014-08-13,0.45,100,D0
2014-08-20,0.39,100,D0
2014-08-27,0.44,100,D0
2014-09-03,0.36,100,D0
2014-09-10,0.52,100,D0
2014-09-17,0.33,100,D0
2014-09-24,0.35,100,D0
2014-10-01,0.43,100,D0
2014-10-08,0.26,100,D0
2014-10-15,0.44,100,D0
2014-10-22,0.4,100,D0
2014-10-29,0.48,100,D0
2014-11-05,0.3,100,D0
2014-11-12,0.46,100,D0
2014-11-19,0.37,100,D0
2014-11-26,0.28,100,D0
2014-12-03,0.28,100,D0
2014-12-10,0.47,100,D0
2014-12-17,0.39,100,D0
2014-12-24,0.25,100,D0
2014-12-31,0.46,100,D0
2015-01-07,0.4,100,D0
2015-01-14,0.39,100,D0
2015-01-21,0.36,100,D0
2015-01-28,0.47,100,D0
2015-02-04,0.45,100,D0
2015-02-11,0.33,100,D0
2015-02-18,0.38,100,D0
2015-02-25,0.39,100,D0
2015-03-04,0.41,100,D0
2015-03-11,0.38,100,D0
2015-03-18,0.37,100,D0
2015-03-25,0.42,100,D0
2015-04-01,0.36,100,D0
2015-04-08,0.33,100,D0
2015-04-15,0.48,100,D0
2015-04-22,0.42,100,D0
2015-04-29,0.45,100,D0
2015-05-06,0.46,100,D0
2015-05-13,0.39,100,D0
2015-05-20,0.34,100,D0
2015-05-27,0.31,100,D0
2015-06-03,0.47,100,D0
2015-06-10,0.46,100,D0
2015-06-17,0.43,100,D0
2015-06-24,0.49,100,D0
2015-07-01,0.29,100,D0
2015-07-08,0.28,100,D0
2015-07-15,0.4,100,D0
2015-07-22,0.48,100,D0
2015-07-29,0.32,100,D0
2015-08-05,0.42,100,D0
2015-08-12,0.34,100,D0
2015-08-19,0.46,100,D0
2015-08-26,0.35,100,D0
2015-09-02,0.47,100,D0
2015-09-09,0.24,100,D0
2015-09-16,0.46,100,D0
2015-09-23,0.43,100,D0
2015-09-30,0.23,100,D0
2015-10-07,0.42,100,D0
2015-10-14,0.45,100,D0
2015-10-21,0.49,100,D0
2015-10-28,0.4,100,D0
2015-11-04,0.33,100,D0
2015-11-11,0.36,100,D0
2015-11-18,0.37,100,D0
2015-11-25,0.17,100,D0
2015-12-02,0.5,100,D0
2015-12-09,0.43,100,D0
2015-12-16,0.42,100,D0
2015-12-23,0.32,100,D0
2015-12-30,0.5,100,D0
2016-01-06,0.54,100,D0
2016-01-13,0.46,100,D0
2016-01-20,0.39,100,D0
2016-01-27,0.53,100,D0
2016-02-03,0.39,100,D0
2016-02-10,0.19,100,D0
2016-02-17,0.43,100,D0
2016-02-24,0.34,100,D0
2016-03-02,0.42,100,D0
2016-03-09,0.37,100,D0
2016-03-16,0.36,100,D0
2016-03-23,0.35,100,D0
2016-03-30,0.45,100,D0
2016-04-06,0.5,100,D0
2016-04-13,0.27,100,D0
2016-04-20,0.46,100,D0
2016-04-27,0.23,100,D0
2016-05-04,0.11,100,D0
2016-05-11,0.35,100,D0
2016-05-18,0.52,100,D0
2016-05-25,0.36,100,D0
2016-06-01,0.44,100,D0
2016-06-08,0.4,100,D0
2016-06-15,0.34,100,D0
2016-06-22,0.42,100,D0
2016-06-29,0.38,100,D0
2016-07-06,0.34,100,D0
2016-07-13,0.4,100,D0
2016-07-20,0.43,100,D0
2016-07-27,0.29,100,D0
2016-08-03,0.37,100,D0
2016-08-10,0.3,100,D0
2016-08-17,0.28,100,D0
2016-08-24,0.47,100,D0
2016-08-31,0.4,100,D0
2016-09-07,0.34,100,D0
2016-09-14,0.39,100,D0
2016-09-21,0.25,100,D0
2016-09-28,0.4,100,D0
2016-10-05,0.39,100,D0
2016-10-12,0.42,100,D0
2016-10-19,0.34,100,D0
2016-10-26,0.42,100,D0
2016-11-02,0.21,100,D0
2016-11-09,0.37,100,D0
2016-11-16,0.39,100,D0
2016-11-23,0.4,100,D0
2016-11-30,0.34,100,D0
2016-12-07,0.13,100,D0
2016-12-14,0.37,100,D0
2016-12-21,0.1,100,D0
2016-12-28,0.61,100,D0
2017-01-04,0.46,100,D0
2017-01-11,0.6,100,D0
2017-01-18,0.36,100,D0
2017-01-25,0.41,100,D0
2017-02-01,0.45,100,D0
2017-02-08,0.25,100,D0
2017-02-15,0.26,100,D0
2017-02-22,0.37,100,D0
