,rank,rank_lag1,rank_lag2,variacao_1s,peak_pos,distancia_pico,semanas_na_parada,hiato_semanas,estreia,reentrada,radio_rank,radio_presente,streaming_rank,streaming_presente,digital_rank,digital_presente,album_rank,album_presente,mes,semana_ano
radio_rank,0.512038940778246,0.5554531504191647,0.5844341136515954,0.04705625536010364,0.4095906007257675,0.10158222469805378,-0.5860428050550188,0.07213421381188578,0.30707906599522816,0.07737270520953629,1.0,-0.9431905505117562,0.0551064506282567,-0.0332623771129268,0.3068972372896945,-0.3068256085449876,-0.01822126580219495,-0.04651344461962563,0.005242806209007846,0.005624730380019383
radio_presente,-0.4042632003991026,-0.45727449624487193,-0.49102501672926097,-0.04335324157328495,-0.30463332197678944,-0.07315464366067193,0.5450559593674094,-0.06402611147448355,-0.3137339255842384,-0.07038715288190939,-0.9431905505117562,1.0,0.024103590845862086,-0.039577630110632596,-0.2335844781953049,0.23852126377373578,0.06056511930418159,0.010232834227450778,-0.011150546247534872,-0.01164067522721822
streaming_rank,0.7447091010746385,0.45754748767415665,0.3405680711097697,-0.17795457734844342,0.5442871257211903,0.28601862938671213,0.014400316099824607,0.09910896622432522,-0.0913932330576096,-0.018030036526397814,0.0551064506282567,0.024103590845862086,1.0,-0.9426156252204163,0.3304849765691572,-0.3113670100404052,0.24354125446439182,-0.19871334758232817,0.003349488972873025,0.0033034341722710955
streaming_presente,-0.677146621677466,-0.42480748399198226,-0.316746707561376,0.15111125864439165,-0.4950431540693749,-0.2264679257885525,0.0055240022284647255,-0.10111121922916683,0.08508890444065294,0.031440566581435736,-0.0332623771129268,-0.039577630110632596,-0.9426156252204163,1.0,-0.2782768570407583,0.2675363994067331,-0.24321023278935647,0.20400036001711708,-0.004115102052209207,-0.00405552367483325
digital_rank,0.46276464901553865,0.3409702529170457,0.29024051751316543,-0.11618247085107572,0.298535502602483,0.26511622337936924,-0.10948589047391087,0.04915116223207728,0.016538366777699313,0.02595509028502736,0.3068972372896945,-0.2335844781953049,0.3304849765691572,-0.2782768570407583,1.0,-0.9815642176423374,0.040393977331082784,-0.08310093198117265,-0.0015698786575754089,-0.001030941665995891
digital_presente,-0.4497901740269262,-0.3400089265264406,-0.29125759232608606,0.10537604210110604,-0.28465503966630346,-0.25056657572204744,0.13122645346627343,-0.049967894041846726,-0.031646480797090114,-0.03051237685685884,-0.3068256085449876,0.23852126377373578,-0.3113670100404052,0.2675363994067331,-0.9815642176423374,1.0,-0.04046258291889146,0.0840659975268246,-0.002007039327324985,-0.0027058123078851043
album_rank,0.16372686194637115,0.09940550946455728,0.06090411996224881,-0.004350961472934316,0.23885512133136788,-0.05422828617662627,0.037984841914306684,0.03816547846434141,-0.0989634916011225,-0.011387196561731688,-0.01822126580219495,0.06056511930418159,0.24354125446439182,-0.24321023278935647,0.040393977331082784,-0.04046258291889146,1.0,-0.9412565715411256,-0.05734951769861417,-0.05827166709862648
album_presente,-0.17186580359914408,-0.13003162714747868,-0.10053413659107714,-0.0051716577493945695,-0.22561434613941025,0.04393738211055679,0.026257295095044448,-0.03890195788282842,0.03741762132462007,0.019169295611424303,-0.04651344461962563,0.010232834227450778,-0.19871334758232817,0.20400036001711708,-0.08310093198117265,0.0840659975268246,-0.9412565715411256,1.0,0.053807368368130104,0.054920329590776674
mes,0.0,0.004317454277188295,0.011269657369961545,-0.04731985558949032,-0.06079562078904767,0.0763312578819892,-0.0542357116461744,-0.012503922192316608,0.03484942793654559,0.043708981357669145,0.005242806209007846,-0.011150546247534872,0.003349488972873025,-0.004115102052209207,-0.0015698786575754089,-0.002007039327324985,-0.05734951769861417,0.053807368368130104,1.0,0.9962615649006357
semana_ano,0.0,0.0036417606158882137,0.011007442827730984,-0.047945097344268946,-0.061504637550126265,0.07725174407955455,-0.05372552820413535,-0.01330774665447735,0.03395949598742084,0.04451450454771871,0.005624730380019383,-0.01164067522721822,0.0033034341722710955,-0.00405552367483325,-0.001030941665995891,-0.0027058123078851043,-0.05827166709862648,0.054920329590776674,0.9962615649006357,1.0
